City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,beyneu,45.3167,55.2,-1.1,79,16,3.66,KZ,1675304564
311,naze,28.3667,129.4833,16.51,80,100,5.5,JP,1675304564
312,richards bay,-28.783,32.0377,22.82,87,9,4.04,ZA,1675304393
313,haileybury,47.449,-79.6373,-10.68,87,18,4.93,CA,1675304565
314,emba,48.8264,58.1442,-9.88,77,100,4.47,KZ,1675304565
315,dudinka,69.4058,86.1778,-13.54,95,100,5.38,RU,1675304019
316,kavaratti,10.5669,72.642,26.67,76,92,4.64,IN,1675304437
317,coquimbo,-29.9533,-71.3436,17.85,82,0,0.51,CL,1675304566
318,kaitangata,-46.2817,169.8464,22.27,70,80,2.18,NZ,1675304566
319,caledon,-34.23,19.4265,16.15,84,67,1.46,ZA,1675304566
320,murwillumbah,-28.3167,153.4,28.88,69,75,4.63,AU,1675304567
321,dukhovshchina,55.1919,32.4111,-2.91,96,100,4.42,RU,1675304567
322,vestmannaeyjar,63.4427,-20.2734,3.13,85,100,15.92,IS,1675303985
323,yumen,40.2833,97.2,-5.24,37,100,2.2,CN,1675304364
324,souillac,-20.5167,57.5167,24.21,94,40,1.03,MU,1675304391
325,huarmey,-10.0681,-78.1522,22.42,79,100,2.61,PE,1675304568
326,avarua,-21.2078,-159.775,23.03,94,75,2.06,CK,1675304568
327,yenagoa,4.9247,6.2642,25.36,87,4,1.43,NG,1675304420
328,paamiut,61.994,-49.6678,-11.45,78,94,3.37,GL,1675304389
329,mokhsogollokh,61.4681,128.9203,-26.11,97,100,0.41,RU,1675304569
330,butembo,0.15,29.2833,13.15,91,25,1.36,CD,1675304569
331,lucapa,-8.4192,20.7447,17.91,97,99,1.07,AO,1675304569
332,pajapan,18.25,-94.7,21.14,89,12,3.79,MX,1675304570
333,pala,9.3642,14.9046,23.24,21,0,3.48,TD,1675304033
334,zapolyarnyy,69.4154,30.8136,-3.4,89,100,3.72,RU,1675304570
335,pimentel,-6.8367,-79.9342,26.16,57,0,3.6,PE,1675304570
336,itaituba,-4.2761,-55.9836,22.1,100,100,0.88,BR,1675304571
337,cravo norte,6.3017,-70.2041,26.54,37,5,2.7,CO,1675304571
338,lighthouse point,26.2756,-80.0873,25.01,79,0,3.6,US,1675304571
339,vidim,56.4088,103.1106,-17.12,99,100,1.4,RU,1675304572
340,airai,-8.9266,125.4092,20.57,80,97,1.53,TL,1675304572
341,cap malheureux,-19.9842,57.6142,24.7,84,4,0.89,MU,1675304572
342,ures,29.4333,-110.4,12.25,70,65,1.85,MX,1675304573
343,flin flon,54.7682,-101.865,-26.41,88,100,4.96,CA,1675304470
344,trincomalee,8.5711,81.2335,24.6,88,100,8.83,LK,1675304573
345,tigil,57.8,158.6667,-14.45,82,61,1.91,RU,1675304574
346,talnakh,69.4865,88.3972,-13.77,96,100,3.72,RU,1675304574
347,lorengau,-2.0226,147.2712,29.69,62,74,2.03,PG,1675304368
348,manyana,-23.4,21.7167,21.2,71,100,2.52,BW,1675304329
349,salalah,17.0151,54.0924,23.05,56,75,2.06,OM,1675304575
350,moranbah,-22.0016,148.0466,34.54,36,13,4.06,AU,1675304575
351,ormara,25.2088,64.6357,18.76,50,0,2.0,PK,1675304575
352,grootfontein,-19.5667,18.1167,18.61,87,100,1.38,NA,1675304576
353,matadi,-5.8167,13.45,24.29,83,77,0.76,CD,1675304576
354,severo-kurilsk,50.6789,156.125,-4.59,62,44,2.67,RU,1675304577
355,mercedes,-34.6515,-59.4307,23.77,72,100,3.71,AR,1675304311
356,sokolo,14.7328,-6.1219,21.17,10,3,4.1,ML,1675304577
357,havoysund,70.9963,24.6622,-1.87,64,100,2.59,NO,1675304578
358,sringeri,13.4167,75.25,18.61,69,100,1.93,IN,1675304578
359,waddan,29.1614,16.139,12.31,62,100,2.43,LY,1675304578
360,kiili,59.3069,24.8378,1.62,93,100,4.12,EE,1675304579
361,calama,-22.4667,-68.9333,16.27,59,20,4.12,CL,1675304579
362,jinchang,38.4953,102.1739,-3.36,33,100,0.89,CN,1675303958
363,egvekinot,66.3167,-179.1667,-13.9,91,54,3.61,RU,1675303964
